mp_rgb_img,left_hand_skel_data,right_hand_skel_data,nuitrack_rgb_image,nuitrack_skel_data
,1703220140.9734674,1703220141.045436,,1703220141.1649697
,1703220141.017411,1703220141.0894482,,1703220141.2054558
,1703220141.0654433,1703220141.160811,,1703220141.2598722
,1703220141.0654542,1703220141.2014651,,1703220141.3054419
,1703220141.1134171,1703220141.2454011,,1703220141.349417
,1703220141.1134236,1703220141.2894452,,1703220141.393422
,1703220141.1614385,1703220141.3334715,,1703220141.3934267
,1703220141.161444,1703220141.3334813,,1703220141.4374435
,1703220141.2054534,1703220141.3774488,,1703220141.4374537
,1703220141.2054613,1703220141.4005008,,1703220141.4911005
,1703220141.2494345,1703220141.4454556,,1703220141.5258303
,1703220141.265651,1703220141.4894557,,1703220141.5694475
,1703220141.3094268,1703220141.5334854,,1703220141.613419
,1703220141.353454,1703220141.5335019,,1703220141.6134236
,1703220141.4014623,1703220141.5774238,,1703220141.6575098
,1703220141.4014964,1703220141.5973396,,1703220141.6659117
,1703220141.4454472,1703220141.641435,,1703220141.7268214
,1703220141.4628494,1703220141.6894464,,1703220141.773466
,1703220141.505437,1703220141.7374349,,1703220141.8174217
,1703220141.5494213,1703220141.7374454,,1703220141.8614209
,1703220141.5934305,1703220141.7854187,,1703220141.8614275
,1703220141.6374538,1703220141.7991877,,1703220141.905432
,1703220141.6374667,1703220141.841434,,1703220141.9054418
,1703220141.6814227,1703220141.889408,,1703220141.9917457
,1703220141.698298,1703220141.889418,,1703220141.9958887
,1703220141.7414193,1703220141.9334495,,1703220142.0374455
,1703220141.7854264,1703220141.962493,,1703220142.0814154
,1703220141.8294363,1703220142.005433,,1703220142.125632
,1703220141.8294466,1703220142.049409,,1703220142.1694295
,1703220141.8774168,1703220142.0974162,,1703220142.2134624
,1703220141.8892696,1703220142.1454115,,1703220142.213481
,1703220141.933457,1703220142.1454208,,1703220142.261448
,1703220141.97741,1703220142.1894524,,1703220142.2636116
,1703220142.021437,1703220142.1973794,,1703220142.3283076
,1703220142.0694795,1703220142.2374358,,1703220142.369497
,1703220142.0694935,1703220142.2814136,,1703220142.4134722
,1703220142.1134243,1703220142.3254685,,1703220142.4135013
,1703220142.1280906,1703220142.369514,,1703220142.457433
,1703220142.1734362,1703220142.3695185,,1703220142.528024
,1703220142.2174082,1703220142.4134576,,1703220142.5695024
,1703220142.261459,1703220142.4350169,,1703220142.569514
,1703220142.3054652,1703220142.4774446,,1703220142.6134284
,1703220142.305479,1703220142.5214484,,1703220142.631498
,1703220142.353426,1703220142.565433,,1703220142.6920547
,1703220142.36347,1703220142.5654457,,1703220142.7334392
,1703220142.4054399,1703220142.6094522,,1703220142.7334495
,1703220142.4494529,1703220142.6323843,,1703220142.7912087
,1703220142.4934683,1703220142.6734445,,1703220142.7952366
,1703220142.5374389,1703220142.721447,,1703220142.859303
,1703220142.537451,1703220142.7654383,,1703220142.9014456
,1703220142.5854156,1703220142.7654526,,1703220142.945436
,1703220142.595903,1703220142.8094559,,1703220142.9894388
,1703220142.6374621,1703220142.830255,,1703220142.9894538
,1703220142.6814125,1703220142.8774436,,1703220143.0334594
,1703220142.7254248,1703220142.921452,,1703220143.0614934
,1703220142.7734492,1703220142.9654222,,1703220143.1094377
,1703220142.7734647,1703220143.013413,,1703220143.1534352
,1703220142.817413,1703220143.0134277,,1703220143.2014766
,1703220142.8302474,1703220143.0614939,,1703220143.2014916
,1703220142.8774567,1703220143.065302,,1703220143.201494
,1703220142.92543,1703220143.1094377,,1703220143.2498477
,1703220142.9695055,1703220143.1534271,,1703220143.2939448
,1703220142.9695256,1703220143.1974163,,1703220143.3381867
,1703220143.0134244,1703220143.2414868,,1703220143.3814356
,1703220143.0335188,1703220143.2415006,,1703220143.4254413
,1703220143.0774438,1703220143.2854218,,1703220143.4734504
,1703220143.1214786,1703220143.299648,,1703220143.47346
,1703220143.1654212,1703220143.341418,,1703220143.517411
,1703220143.16543,1703220143.3894422,,1703220143.5274725
,1703220143.2094672,1703220143.437455,,1703220143.569432
,1703220143.232803,1703220143.4374673,,1703220143.6174674
,1703220143.2734563,1703220143.4814281,,1703220143.6174738
,1703220143.3214407,1703220143.4814363,,1703220143.6617618
,1703220143.3654475,1703220143.525445,,1703220143.665556
,1703220143.409451,1703220143.5319207,,1703220143.7094173
,1703220143.4094663,1703220143.573435,,1703220143.7624323
,1703220143.4534297,1703220143.6174521,,1703220143.809474
,1703220143.5000107,1703220143.6614947,,1703220143.853485
,1703220143.5414677,1703220143.7061393,,1703220143.8534906
,1703220143.585415,1703220143.7061493,,1703220143.8974352
,1703220143.6294343,1703220143.7494245,,1703220143.9276779
,1703220143.6740339,1703220143.7676294,,1703220143.9694502
,1703220143.6740432,1703220143.8094707,,1703220144.0174198
,1703220143.7174404,1703220143.853474,,1703220144.0174289
,1703220143.7328796,1703220143.897444,,1703220144.061435
,1703220143.7774384,1703220143.9414585,,1703220144.0657434
,1703220143.825453,1703220143.9414742,,1703220144.1094186
,1703220143.8694544,1703220143.9854295,,1703220144.153412
,1703220143.8694656,1703220143.9996972,,1703220144.197417
,1703220143.9134629,1703220144.0414376,,1703220144.2414722
